05/05/2020 17:52:19, (79.21, 79.72048619654545, ['INR', 'ETH', 'USDT', 'INR'])
05/05/2020 17:52:20, (700506.29, 703437.75, ['INR', 'USDT', 'BTC', 'INR'])
05/05/2020 17:52:20, (79.21, 79.33090820329053, ['INR', 'BTC', 'USDT', 'INR'])
05/05/2020 17:52:20, (16199, 16223.107499999998, ['INR', 'USDT', 'ETH', 'INR'])
05/05/2020 17:52:20, (79.21, 79.72048619654545, ['INR', 'ETH', 'USDT', 'INR'])
05/05/2020 17:52:21, (700506.29, 703437.75, ['INR', 'USDT', 'BTC', 'INR'])
05/05/2020 17:52:21, (79.21, 79.33090820329053, ['INR', 'BTC', 'USDT', 'INR'])
05/05/2020 17:52:21, (16199, 16223.107499999998, ['INR', 'USDT', 'ETH', 'INR'])
05/05/2020 17:52:21, (79.21, 79.72048619654545, ['INR', 'ETH', 'USDT', 'INR'])
05/05/2020 17:52:23, (700506.29, 703437.75, ['INR', 'USDT', 'BTC', 'INR'])
05/05/2020 17:52:23, (79.21, 79.33090820329053, ['INR', 'BTC', 'USDT', 'INR'])
05/05/2020 17:52:23, (16199, 16223.107499999998, ['INR', 'USDT', 'ETH', 'INR'])
05/05/2020 17:52:23, (79.21, 79.72048619654545, ['INR', 'ETH', 'USDT', 'INR'])
05/05/2020 18:39:53, (703100, 705446.7847999999, ['INR', 'USDT', 'BTC', 'INR'])
05/05/2020 18:39:53, (79.21, 79.332233470196, ['INR', 'BTC', 'USDT', 'INR'])
05/05/2020 18:39:53, (16116.5, 16187.2865, ['INR', 'USDT', 'ETH', 'INR'])
05/05/2020 18:39:53, (79.21, 79.65776663224665, ['INR', 'ETH', 'USDT', 'INR'])
05/05/2020 18:39:54, (703100, 705446.7847999999, ['INR', 'USDT', 'BTC', 'INR'])
05/05/2020 18:39:54, (79.21, 79.332233470196, ['INR', 'BTC', 'USDT', 'INR'])
05/05/2020 18:39:54, (16116.5, 16187.2865, ['INR', 'USDT', 'ETH', 'INR'])
05/05/2020 18:39:54, (79.21, 79.65776663224665, ['INR', 'ETH', 'USDT', 'INR'])
05/05/2020 18:39:55, (703100, 705446.7847999999, ['INR', 'USDT', 'BTC', 'INR'])
05/05/2020 18:39:55, (79.21, 79.332233470196, ['INR', 'BTC', 'USDT', 'INR'])
05/05/2020 18:39:55, (16116.5, 16187.2865, ['INR', 'USDT', 'ETH', 'INR'])
05/05/2020 18:39:55, (79.21, 79.65776663224665, ['INR', 'ETH', 'USDT', 'INR'])
05/05/2020 18:39:57, (703100, 705446.7847999999, ['INR', 'USDT', 'BTC', 'INR'])
05/05/2020 18:39:57, (79.21, 79.332233470196, ['INR', 'BTC', 'USDT', 'INR'])
05/05/2020 18:39:57, (16116.5, 16187.2865, ['INR', 'USDT', 'ETH', 'INR'])
05/05/2020 18:39:57, (79.21, 79.65776663224665, ['INR', 'ETH', 'USDT', 'INR'])
